date,institution_id,meal,actual_count,day_of_week,month,week_of_year,day_of_year,quarter,is_weekend,is_monday,is_friday,is_holiday,is_exam_period,is_semester_break,is_waterlogging,is_normal_day,temperature_c,humidity_pct,heat_index,is_rainy,high_humidity,extreme_heat,weather_discount,is_monsoon,is_winter,is_pre_monsoon,is_post_monsoon,heaviness_num,base_demand_score,consecutive_weeks,sentiment_decay,meal_num,menu_item_encoded,heavy_x_humidity,is_university,capacity,kai_value,kai_computed,academic_stress_factor,weather_discount,lag_7_count,lag_14_count,lag_30_count,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,rolling_7d_std,wow_change,prev_day_waste_bucket,prev_day_waste_kg,total_wasted_kg,total_cost_inr
14-01-2024,CORP_001,breakfast,28,6,1,2,14,1,1,0,0,0,0,0,0,1,26.8,77.2,31.74,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,38,,,148.4285714,165.8461538,165.8461538,81.97734879,,2,45.9,18.77,9232.36
15-01-2024,CORP_001,breakfast,214,0,1,3,15,1,0,1,0,0,0,0,0,1,22.7,60.9,24.22,1,0,0,1,0,1,0,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,176,220,,147,156,156,84.27732,-44,1,19.8,122.35,63282.1
16-01-2024,CORP_001,breakfast,219,1,1,3,16,1,0,0,0,0,0,0,0,1,15.7,46.9,14.42,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,201,229,,152.4285714,155.5714286,159.8666667,87.61441499,-28,1,19.1,123.98,60221.09
17-01-2024,CORP_001,breakfast,141,2,1,3,17,1,0,0,0,0,0,0,0,1,26.2,51.3,28,0,0,0,1,0,1,0,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,229,217,,155,154.8571429,163.5625,89.52094727,12,1,15.8,113.67,58051.46
18-01-2024,CORP_001,breakfast,239,3,1,3,18,1,0,0,0,0,0,0,0,1,22.5,46,22.68,0,0,0,1,0,1,0,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,156,203,,142.4285714,149.4285714,162.2352941,83.36437517,-47,1,18.9,128.07,59244.47
19-01-2024,CORP_001,breakfast,219,4,1,3,19,1,0,0,1,0,0,0,0,1,24.4,49.6,25.46,1,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,210,217,,154.2857143,152,166.5,91.15502233,-7,2,40.4,126.04,65990.66
20-01-2024,CORP_001,breakfast,31,5,1,3,20,1,1,0,0,0,0,0,0,1,25.6,59.7,27.99,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,29,31,,155.5714286,152.1428571,169.2631579,92.13008402,-2,2,52.8,16.81,9412.48
21-01-2024,CORP_001,breakfast,33,6,1,3,21,1,1,0,0,0,0,0,0,1,20.8,48.3,20.67,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,28,38,,155.8571429,152.1428571,162.35,91.67411225,-10,2,29,16.34,9222.01
22-01-2024,CORP_001,breakfast,200,0,1,4,22,1,0,1,0,0,0,0,0,1,26.4,42.9,27.27,1,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,214,176,,156.5714286,151.7857143,156.1904762,90.52413517,38,2,54.2,111.58,58282.1
23-01-2024,CORP_001,breakfast,189,1,1,4,23,1,0,0,0,0,0,0,0,1,17.2,46.1,16.21,0,0,0,1,0,1,0,0,0,0.82,1,1,0,13,0,0,450,1,1,1,1,219,201,,154.5714286,153.5,158.1818182,89.18867107,18,1,12.7,126.21,62171.84
24-01-2024,CORP_001,breakfast,194,2,1,4,24,1,0,0,0,0,0,0,0,1,23.2,61.7,24.97,0,0,0,1,0,1,0,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,141,229,,150.2857143,152.6428571,159.5217391,86.24908557,-88,2,26.2,120.06,60115.98
25-01-2024,CORP_001,breakfast,178,3,1,4,25,1,0,0,0,0,0,0,0,1,19.4,57.9,19.73,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,239,156,,157.8571429,150.1428571,160.9583333,87.61359973,83,1,24.7,106.51,58820.67
26-01-2024,CORP_001,breakfast,40,4,1,4,26,1,0,0,1,1,0,0,0,0,23.4,67,25.69,0,0,0,1,0,1,0,0,2,0.8,1,1,0,12,0,0,450,0.2,0.2,0.2,1,219,210,,149.1428571,151.7142857,161.64,80.98030331,9,1,18.6,23.41,12395.94
27-01-2024,CORP_001,breakfast,24,5,1,4,27,1,1,0,0,0,0,0,0,1,25.3,34,24.91,1,0,0,1,0,1,0,0,2,0.8,2,0.9,0,12,0,0,450,0.9,0.9,1,1,31,29,,123.5714286,139.5714286,156.9615385,83.4682717,2,2,39.6,17.01,8725.66
28-01-2024,CORP_001,breakfast,31,6,1,4,28,1,1,0,0,0,0,0,0,1,26.2,43.6,27.06,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,33,28,,122.5714286,139.2142857,152.037037,84.79358691,5,2,54.6,17.75,8699.09
29-01-2024,CORP_001,breakfast,200,0,1,5,29,1,0,1,0,0,0,0,0,1,23.4,53.2,24.49,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,200,214,,122.2857143,139.4285714,147.7142857,85.14832996,-14,2,44,122.83,61009.94
30-01-2024,CORP_001,breakfast,200,1,1,5,30,1,0,0,0,0,0,0,0,1,25,48.7,26.05,1,0,0,1,0,1,0,0,2,0.8,1,1,0,12,0,0,450,1,1,1,1,189,219,,122.2857143,138.4285714,149.5172414,85.14832996,-30,1,22.4,123.72,61349.15
31-01-2024,CORP_001,breakfast,173,2,1,5,31,1,0,0,0,0,0,0,0,1,20,48.5,19.73,0,0,0,1,0,1,0,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,194,141,220,123.8571429,137.0714286,151.2,86.67261884,53,0,4.9,110.43,57998.12
01-02-2024,CORP_001,breakfast,215,3,2,5,32,1,0,0,0,0,0,0,0,1,26.6,59,29.42,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,178,239,229,120.8571429,139.3571429,149.6333333,84.1673503,-61,2,42.4,112.64,63283.09
02-02-2024,CORP_001,breakfast,195,4,2,5,33,1,0,0,1,0,0,0,0,1,24.1,50.8,25.07,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,40,219,217,126.1428571,137.6428571,149.1666667,89.35589623,-179,1,8.8,140.97,66499.74
03-02-2024,CORP_001,breakfast,28,5,2,5,34,1,1,0,0,0,0,0,0,1,22.7,66,24.71,0,0,0,1,0,1,0,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,24,31,203,148.2857143,135.9285714,148.4333333,83.46199591,-7,2,48.5,18.04,8849.89
04-02-2024,CORP_001,breakfast,29,6,2,5,35,1,1,0,0,0,0,0,0,1,20.7,49.4,20.66,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,31,33,217,148.8571429,135.7142857,142.6,82.47712526,-2,2,36,17.77,9197.48
05-02-2024,CORP_001,breakfast,178,0,2,6,36,1,0,1,0,0,0,0,0,1,20.8,65.2,22.12,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,200,200,31,148.5714286,135.4285714,136.3333333,82.95552452,0,2,26,110.82,57519.51
06-02-2024,CORP_001,breakfast,207,1,2,6,37,1,0,0,0,0,0,0,0,1,21.1,55,21.59,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,200,189,38,145.4285714,133.8571429,141.2333333,81.07785794,11,1,8.2,124.28,59763.87
07-02-2024,CORP_001,breakfast,169,2,2,6,38,1,0,0,0,0,0,0,0,1,20.8,51.8,21.05,0,0,0,1,0,1,0,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,173,194,176,146.4285714,135.1428571,146.8666667,81.90209021,-21,0,4.4,108.23,56761.96
08-02-2024,CORP_001,breakfast,215,3,2,6,39,1,0,0,0,0,0,0,0,1,23.6,53.7,24.78,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,215,178,201,145.8571429,133.3571429,146.6333333,81.69950749,37,2,48.2,140.86,64723.9
09-02-2024,CORP_001,breakfast,220,4,2,6,40,1,0,0,1,0,0,0,0,1,27.6,47.5,29.4,0,0,0,1,0,1,0,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,195,40,229,145.8571429,136,147.1,81.69950749,155,2,37,137.63,61928.04
10-02-2024,CORP_001,breakfast,30,5,2,6,41,1,1,0,0,0,0,0,0,1,21.9,39.6,21.33,0,0,0,1,0,1,0,0,2,0.85,1,1,0,9,0,0,450,1,1,1,1,28,24,156,149.4285714,148.8571429,146.8,84.69721983,4,2,59.4,18.3,8862.91
11-02-2024,CORP_001,breakfast,32,6,2,6,42,1,1,0,0,0,0,0,0,1,20.3,55.8,20.65,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,29,31,210,149.7142857,149.2857143,142.6,84.22136365,-2,2,29.8,17.99,9120.12
12-02-2024,CORP_001,breakfast,229,0,2,7,43,1,0,1,0,0,0,0,0,1,23.2,53.5,24.22,1,0,0,1,0,1,0,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,178,200,29,150.1428571,149.3571429,136.6666667,83.50933794,-22,1,18.5,147.75,65718.62
13-02-2024,CORP_001,breakfast,215,1,2,7,44,1,0,0,0,0,0,0,0,1,22,57.7,22.99,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,207,200,28,157.4285714,151.4285714,143.3333333,88.42484029,7,0,6.1,125.22,60460.04
14-02-2024,CORP_001,breakfast,179,2,2,7,45,1,0,0,0,0,0,0,0,1,25,64.1,27.71,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,169,173,214,158.5714286,152.5,149.5666667,89.22043328,-4,2,55.7,124.79,58713.16
15-02-2024,CORP_001,breakfast,243,3,2,7,46,1,0,0,0,0,0,0,0,1,27.5,48.6,29.43,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,215,215,219,160,152.9285714,148.4,89.49487881,0,2,28.1,127.03,60786.78
16-02-2024,CORP_001,breakfast,238,4,2,7,47,1,0,0,1,0,0,0,0,1,30.8,59.7,35.49,1,0,0,1,0,1,0,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,220,195,141,164,154.9285714,149.2,92.92290711,25,2,39,129.9,64710.17
17-02-2024,CORP_001,breakfast,29,5,2,7,48,1,1,0,0,0,0,0,0,1,25.7,51.1,27.25,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,30,28,239,166.5714286,158,152.4333333,94.95763466,2,1,20.5,20.81,9891.11
18-02-2024,CORP_001,breakfast,33,6,2,7,49,1,1,0,0,0,0,0,0,1,20,55.8,20.29,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,32,29,219,166.4285714,158.0714286,145.4333333,95.19778909,3,0,2.6,19.77,9538.94
19-02-2024,CORP_001,breakfast,225,0,2,8,50,1,0,1,0,0,0,0,0,1,20.5,55.1,20.93,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,229,178,31,166.5714286,158.3571429,139.2333333,94.96290002,51,2,30.2,126.34,64030.21
20-02-2024,CORP_001,breakfast,236,1,2,8,51,1,0,0,0,0,0,0,0,1,23.9,46.5,24.44,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,215,207,33,166,161.7142857,145.7,94.53570754,8,0,6.6,116.17,56884.65
21-02-2024,CORP_001,breakfast,197,2,2,8,52,1,0,0,0,0,0,0,0,1,21.4,60,22.38,1,0,0,1,0,1,0,0,0,0.82,1,1,0,13,0,0,450,1,1,1,1,179,169,200,169,163.7857143,152.4666667,96.65919511,10,2,30.5,134.19,63037.94
22-02-2024,CORP_001,breakfast,201,3,2,8,53,1,0,0,0,0,0,0,0,1,20.7,48.7,20.64,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,243,215,189,171.5714286,165.7857143,152.3666667,97.20743652,28,1,11.7,114.06,61108.27
23-02-2024,CORP_001,breakfast,183,4,2,8,54,1,0,0,1,0,0,0,0,1,24.2,52.1,25.43,0,0,0,1,0,1,0,0,2,0.83,1,1,0,15,0,0,450,1,1,1,1,238,220,194,165.5714286,164.7857143,152.7666667,93.28068243,18,1,24.3,112.66,57950.4
24-02-2024,CORP_001,breakfast,30,5,2,8,55,1,1,0,0,0,0,0,0,1,27.2,56.8,30,0,0,0,1,0,1,0,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,29,30,178,157.7142857,162.1428571,152.4,88.34914504,-1,0,4.6,16.08,9432.92
25-02-2024,CORP_001,breakfast,31,6,2,8,56,1,1,0,0,0,0,0,0,1,21.2,52.4,21.52,0,0,0,1,0,1,0,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,33,32,40,157.8571429,162.1428571,147.4666667,88.10680748,1,2,29.7,17.82,9783.59
26-02-2024,CORP_001,breakfast,215,0,2,9,57,1,0,1,0,0,0,0,0,1,25.1,57.1,27.14,0,0,0,1,0,1,0,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,225,229,24,157.5714286,162.0714286,147.1666667,88.58114386,-4,2,50.8,118.51,62034.27
27-02-2024,CORP_001,breakfast,221,1,2,9,58,1,0,0,0,0,0,0,0,1,18.5,65.4,19.13,0,0,0,1,0,1,0,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,236,215,31,156.1428571,161.0714286,153.5333333,87.3850265,21,1,19.7,116.41,60815.7
28-02-2024,CORP_001,breakfast,214,2,2,9,59,1,0,0,0,0,0,0,0,1,23.4,57,24.79,0,0,0,1,0,1,0,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,197,179,200,154,161.5,159.8666667,85.25843067,18,2,49.6,120.12,60635.47
29-02-2024,CORP_001,breakfast,240,3,2,9,60,1,0,0,0,0,0,0,0,1,25.4,56.8,27.46,1,0,0,1,0,1,0,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,201,243,200,156.4285714,164,160.3333333,86.91347641,-42,1,8.4,123.43,63217.27
01-03-2024,CORP_001,breakfast,196,4,3,9,61,1,0,0,1,0,0,0,0,1,33.9,67.3,41.58,1,0,1,1,0,0,1,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,183,238,173,162,163.7857143,161.6666667,91.38198218,-55,2,58.4,102.45,53330.06
02-03-2024,CORP_001,breakfast,34,5,3,9,62,1,1,0,0,0,0,0,0,1,32.3,66.4,38.97,0,0,0,1,0,0,1,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,30,29,215,163.8571429,160.7857143,162.4333333,92.00983384,1,2,30.7,17.04,8960.51
03-03-2024,CORP_001,breakfast,29,6,3,9,63,1,1,0,0,0,0,0,0,1,38,55.5,46.07,0,0,1,1,0,0,1,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,31,33,195,164.4285714,161.1428571,156.4,91.04734509,-2,2,45.7,18.4,9293.68
04-03-2024,CORP_001,breakfast,222,0,3,10,64,1,0,1,0,0,0,0,0,1,32.6,59,38.18,0,0,0,1,0,0,1,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,215,225,28,164.1428571,160.8571429,150.8666667,91.53765814,-10,2,39.5,113.4,60755.1
05-03-2024,CORP_001,breakfast,226,1,3,10,65,1,0,0,0,0,0,0,0,1,37.2,72.7,48.48,0,0,1,1,0,0,1,0,0,0.9,1,1,0,7,0,0,450,1,1,1,1,221,236,29,165.1428571,160.6428571,157.3333333,92.22152419,-15,2,36,119.74,65852.96
06-03-2024,CORP_001,breakfast,219,2,3,10,66,1,0,0,0,0,0,0,0,1,36.4,58.1,44.09,0,0,1,1,0,0,1,0,0,0.9,2,0.9,0,7,0,0,450,0.9,0.9,1,1,214,197,178,165.8571429,159.9285714,163.9,92.7441437,17,1,13.1,113.41,59535.75
07-03-2024,CORP_001,breakfast,195,3,3,10,67,1,0,0,0,0,0,0,0,1,33.6,57.9,39.46,0,0,0,1,0,0,1,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,240,201,207,166.5714286,161.5,165.2666667,93.1948803,39,1,19.5,128.04,58089.76
08-03-2024,CORP_001,breakfast,197,4,3,10,68,1,0,0,1,0,0,0,0,1,35.3,72,44.85,0,0,1,1,0,0,1,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,196,183,169,160.1428571,161.0714286,164.8666667,88.73073231,13,1,22.1,120.37,61391.59
09-03-2024,CORP_001,breakfast,30,5,3,10,69,1,1,0,0,0,0,0,0,1,40.4,65.1,52.51,0,0,1,1,0,0,1,0,1,0.88,1,1,0,1,0,0,450,1,1,1,1,34,30,215,160.2857143,162.0714286,165.8,88.79886314,4,0,4.2,16.4,8935.5
10-03-2024,CORP_001,breakfast,37,6,3,10,70,1,1,0,0,0,0,0,0,1,35.9,53.7,42.37,0,0,1,1,0,0,1,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,29,31,220,159.7142857,162.0714286,159.6333333,89.75469214,-2,2,27.4,22.48,10488.42
11-03-2024,CORP_001,breakfast,226,0,3,11,71,1,0,1,0,0,0,0,0,1,37.4,56.4,45.41,0,0,1,1,0,0,1,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,222,215,30,160.8571429,162.5,153.5333333,87.84347551,7,2,56.9,140.24,66865.08
12-03-2024,CORP_001,breakfast,170,1,3,11,72,1,0,0,0,0,0,0,0,1,38.2,64,48.38,0,0,1,1,0,0,1,0,0,0.75,0,1,0,20,0,0,450,1,1,1,1,226,221,32,161.4285714,163.2857143,160.0666667,88.31922619,5,1,20.6,109.65,54632.73
13-03-2024,CORP_001,breakfast,202,2,3,11,73,1,0,0,0,0,0,0,0,1,31.5,58.2,36.31,0,0,0,1,0,0,1,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,219,214,229,153.4285714,159.6428571,164.6666667,83.92229966,5,1,10.9,140.34,65814.46
14-03-2024,CORP_001,breakfast,218,3,3,11,74,1,0,0,0,0,0,0,0,1,34.5,57.6,40.83,0,0,1,1,0,0,1,0,2,0.85,0,1,0,9,0,0,450,1,1,1,1,195,240,215,151,158.7857143,163.7666667,81.93086516,-45,0,7.2,126.68,62253.76
15-03-2024,CORP_001,breakfast,180,4,3,11,75,1,0,0,1,0,0,0,0,1,37.2,66.4,47.01,0,0,1,1,0,0,1,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,197,196,179,154.2857143,157.2142857,163.8666667,84.41309986,1,2,31.1,114.95,57377.46
16-03-2024,CORP_001,breakfast,32,5,3,11,76,1,1,0,0,0,0,0,0,1,33.6,66.8,41.03,0,0,1,1,0,0,1,0,2,0.83,0,1,0,15,0,0,450,1,1,1,1,30,34,243,151.8571429,156.0714286,163.9,83.21544042,-4,0,5.4,18.59,8733.48
17-03-2024,CORP_001,breakfast,32,6,3,11,77,1,1,0,0,0,0,0,0,1,32.6,65.5,39.17,0,0,0,1,0,0,1,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,37,29,238,152.1428571,155.9285714,156.8666667,82.72933493,8,2,38.9,19.35,8985.44
18-03-2024,CORP_001,breakfast,223,0,3,12,78,1,0,1,0,0,0,0,0,1,39.2,72,51.98,0,0,1,1,0,0,1,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,226,222,29,151.4285714,156.1428571,150,83.90243767,4,2,28.7,108.4,58678.12
19-03-2024,CORP_001,breakfast,213,1,3,12,79,1,0,0,0,0,0,0,0,1,33.2,54,38.24,0,0,0,1,0,0,1,0,0,0.9,1,1,0,7,0,0,450,1,1,1,1,170,226,33,151,156.2142857,156.4666667,83.46456334,-56,2,25.3,110.67,58319.68
20-03-2024,CORP_001,breakfast,191,2,3,12,80,1,0,0,0,0,0,0,0,1,36.8,67.4,46.56,0,0,1,1,0,0,1,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,202,219,225,157.1428571,155.2857143,162.4666667,86.61875965,-17,2,53.7,112.78,61706.04
21-03-2024,CORP_001,breakfast,202,3,3,12,81,1,0,0,0,0,0,0,0,1,43,69.1,58.7,0,0,1,1,0,0,1,0,2,0.8,1,1,0,12,0,0,450,1,1,1,1,218,195,236,155.5714286,153.2857143,161.3333333,85.76490569,23,2,51.3,121.57,60980.33
22-03-2024,CORP_001,breakfast,194,4,3,12,82,1,0,0,1,0,0,0,0,1,39,75.6,52.38,0,0,1,1,0,0,1,0,1,0.88,0,1,0,1,0,0,450,1,1,1,1,180,197,197,153.2857143,153.7857143,160.2,84.01927217,-17,1,20,113.83,57721.59
23-03-2024,CORP_001,breakfast,28,5,3,12,83,1,1,0,0,0,0,0,0,1,38.3,62.5,48.13,0,0,1,1,0,0,1,0,1,0.88,1,1,0,1,0,0,450,1,1,1,1,32,30,201,155.2857143,153.5714286,160.1,84.92293425,2,0,5.4,17.84,8907.4
24-03-2024,CORP_001,breakfast,30,6,3,12,84,1,1,0,0,0,0,0,0,1,33.4,66.3,40.71,1,0,1,1,0,0,1,0,1,0.88,2,0.9,0,1,0,0,450,0.9,0.9,1,1,32,37,183,154.7142857,153.4285714,154.3333333,85.89861133,-5,0,5.1,17.57,9257.1
25-03-2024,CORP_001,breakfast,42,0,3,13,85,1,0,1,0,1,0,0,0,0,30.4,83.5,38.36,0,0,0,1,0,0,1,0,2,0.85,0,1,0,9,0,0,450,0.2,0.2,0.2,1,223,226,30,154.4285714,152.9285714,149.2333333,86.37680465,-3,2,40,22.62,11149.28
26-03-2024,CORP_001,breakfast,190,1,3,13,86,1,0,0,0,0,0,0,0,1,36.2,61.7,44.49,1,0,1,1,0,0,1,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,213,170,31,128.5714286,139.7857143,149.6333333,89.46481085,43,2,36.3,96.59,53632.66
27-03-2024,CORP_001,breakfast,183,2,3,13,87,1,0,0,0,0,0,0,0,1,39.3,61.2,49.59,1,0,1,1,0,0,1,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,191,202,215,125.2857143,141.2142857,154.9333333,86.21042916,-11,1,9,116.77,56958.36
28-03-2024,CORP_001,breakfast,204,3,3,13,88,1,0,0,0,0,0,0,0,1,36.4,77.5,47.89,0,0,1,1,0,0,1,0,0,0.9,0,1,0,7,0,0,450,1,1,1,1,202,218,221,124.1428571,139.8571429,153.8666667,85.24167324,-16,1,16,118.25,57518.22
29-03-2024,CORP_001,breakfast,217,4,3,13,89,1,0,0,1,0,0,0,0,1,36.6,59.2,44.66,1,0,1,1,0,0,1,0,0,0.9,1,1,0,7,0,0,450,1,1,1,1,194,180,214,124.4285714,138.8571429,153.3,85.5489278,14,1,9.2,116.64,64885.01
30-03-2024,CORP_001,breakfast,26,5,3,13,90,1,1,0,0,0,0,0,0,1,41.5,84.1,59.72,0,0,1,1,0,0,1,0,2,0.8,0,1,0,12,0,0,450,1,1,1,1,28,32,240,127.7142857,141.5,153.4,89.03691048,-4,2,53.2,17.39,8862.85
31-03-2024,CORP_001,breakfast,31,6,3,13,91,1,1,0,0,0,0,0,0,1,36.6,48.8,42.42,0,0,1,1,0,0,1,0,0,0.82,0,1,0,13,0,0,450,1,1,1,1,30,32,196,127.4285714,141.0714286,146.2666667,89.4126336,-2,2,25,16.85,9307.02
