date,institution_id,material,qty_ordered_kg,qty_used_kg,qty_wasted_kg,waste_pct,cost_inr
04-01-2024,UNIV_001,Milk (L),78.12,62.39,15.73,20.1,4530.96
04-01-2024,UNIV_001,Spices (kg),6.22,5.05,1.17,18.8,2799
04-01-2024,UNIV_001,Sugar (kg),13.06,10.47,2.59,19.8,587.7
05-01-2024,CORP_001,Rice (kg),76.38,60.12,16.26,21.3,3207.96
05-01-2024,CORP_001,Wheat Flour (kg),46.82,39.59,7.23,15.4,1779.16
05-01-2024,CORP_001,Lentils (kg),37.02,30.46,6.56,17.7,3516.9
05-01-2024,CORP_001,Chicken (kg),93.67,73.77,19.9,21.2,20607.4
05-01-2024,CORP_001,Fish (kg),85.18,71.54,13.64,16,15332.4
05-01-2024,CORP_001,Vegetables (kg),110.23,91.38,18.85,17.1,3858.05
05-01-2024,CORP_001,Cooking Oil (L),27.62,21.83,5.79,21,3590.6
05-01-2024,CORP_001,Milk (L),56.95,45.36,11.59,20.4,3303.1
05-01-2024,CORP_001,Spices (kg),4.67,3.7,0.97,20.8,2101.5
05-01-2024,CORP_001,Sugar (kg),9.21,7.4,1.81,19.7,414.45
05-01-2024,UNIV_001,Rice (kg),111.3,88.79,22.51,20.2,4674.6
05-01-2024,UNIV_001,Wheat Flour (kg),66.04,53.41,12.63,19.1,2509.52
05-01-2024,UNIV_001,Lentils (kg),55.4,40.2,15.2,27.4,5263
05-01-2024,UNIV_001,Chicken (kg),137.39,111.02,26.37,19.2,30225.8
05-01-2024,UNIV_001,Fish (kg),116.42,92.02,24.4,21,20955.6
05-01-2024,UNIV_001,Vegetables (kg),166.87,127.73,39.14,23.5,5840.45
05-01-2024,UNIV_001,Cooking Oil (L),38.55,30.99,7.56,19.6,5011.5
05-01-2024,UNIV_001,Milk (L),80.02,64.9,15.12,18.9,4641.16
05-01-2024,UNIV_001,Spices (kg),6.83,5.58,1.25,18.3,3073.5
05-01-2024,UNIV_001,Sugar (kg),13.15,10.64,2.51,19.1,591.75
06-01-2024,CORP_001,Rice (kg),10.59,8.28,2.31,21.8,444.78
06-01-2024,CORP_001,Wheat Flour (kg),6.42,5.49,0.93,14.5,243.96
06-01-2024,CORP_001,Lentils (kg),5.44,4.18,1.26,23.2,516.8
06-01-2024,CORP_001,Chicken (kg),13.31,10.15,3.16,23.7,2928.2
06-01-2024,CORP_001,Fish (kg),11.92,9.6,2.32,19.5,2145.6
06-01-2024,CORP_001,Vegetables (kg),15.86,13.19,2.67,16.8,555.1
06-01-2024,CORP_001,Cooking Oil (L),4,3.09,0.91,22.8,520
06-01-2024,CORP_001,Milk (L),8.1,6.05,2.05,25.3,469.8
06-01-2024,CORP_001,Spices (kg),0.65,0.51,0.14,21.5,292.5
06-01-2024,CORP_001,Sugar (kg),1.31,1.08,0.23,17.6,58.95
06-01-2024,UNIV_001,Rice (kg),69.41,56.73,12.68,18.3,2915.22
06-01-2024,UNIV_001,Wheat Flour (kg),43.72,33.82,9.9,22.6,1661.36
06-01-2024,UNIV_001,Lentils (kg),35.65,26.75,8.9,25,3386.75
06-01-2024,UNIV_001,Chicken (kg),84.88,68.81,16.07,18.9,18673.6
06-01-2024,UNIV_001,Fish (kg),76.63,58.7,17.93,23.4,13793.4
06-01-2024,UNIV_001,Vegetables (kg),105.54,82.63,22.91,21.7,3693.9
06-01-2024,UNIV_001,Cooking Oil (L),25.95,21.65,4.3,16.6,3373.5
06-01-2024,UNIV_001,Milk (L),52.44,42.85,9.59,18.3,3041.52
06-01-2024,UNIV_001,Spices (kg),4.21,3.46,0.75,17.8,1894.5
06-01-2024,UNIV_001,Sugar (kg),8.95,6.94,2.01,22.5,402.75
07-01-2024,CORP_001,Rice (kg),13.29,10.2,3.09,23.3,558.18
07-01-2024,CORP_001,Wheat Flour (kg),7.88,6.43,1.45,18.4,299.44
07-01-2024,CORP_001,Lentils (kg),6.47,5.37,1.1,17,614.65
07-01-2024,CORP_001,Chicken (kg),15.97,13.55,2.42,15.2,3513.4
07-01-2024,CORP_001,Fish (kg),15.25,11.32,3.93,25.8,2745
07-01-2024,CORP_001,Vegetables (kg),19.34,16.15,3.19,16.5,676.9
07-01-2024,CORP_001,Cooking Oil (L),5.09,3.85,1.24,24.4,661.7
07-01-2024,CORP_001,Milk (L),9.65,7.77,1.88,19.5,559.7
07-01-2024,CORP_001,Spices (kg),0.83,0.63,0.2,24.1,373.5
07-01-2024,CORP_001,Sugar (kg),1.66,1.23,0.43,25.9,74.7
07-01-2024,UNIV_001,Rice (kg),69.48,56.47,13.01,18.7,2918.16
07-01-2024,UNIV_001,Wheat Flour (kg),44.57,35.03,9.54,21.4,1693.66
07-01-2024,UNIV_001,Lentils (kg),36.07,28.04,8.03,22.3,3426.65
07-01-2024,UNIV_001,Chicken (kg),87.93,70.01,17.92,20.4,19344.6
07-01-2024,UNIV_001,Fish (kg),84.43,63.69,20.74,24.6,15197.4
07-01-2024,UNIV_001,Vegetables (kg),107.79,86.42,21.37,19.8,3772.65
07-01-2024,UNIV_001,Cooking Oil (L),28.16,20.85,7.31,26,3660.8
07-01-2024,UNIV_001,Milk (L),54.96,43.84,11.12,20.2,3187.68
07-01-2024,UNIV_001,Spices (kg),4.55,3.42,1.13,24.8,2047.5
07-01-2024,UNIV_001,Sugar (kg),9.16,6.82,2.34,25.5,412.2
08-01-2024,CORP_001,Rice (kg),75.96,61.16,14.8,19.5,3190.32
08-01-2024,CORP_001,Wheat Flour (kg),45.97,38.63,7.34,16,1746.86
08-01-2024,CORP_001,Lentils (kg),36.21,30.91,5.3,14.6,3439.95
08-01-2024,CORP_001,Chicken (kg),93.89,72.36,21.53,22.9,20655.8
08-01-2024,CORP_001,Fish (kg),82.19,70.32,11.87,14.4,14794.2
08-01-2024,CORP_001,Vegetables (kg),109.01,86.66,22.35,20.5,3815.35
08-01-2024,CORP_001,Cooking Oil (L),27.9,22.66,5.24,18.8,3627
08-01-2024,CORP_001,Milk (L),56.73,42.98,13.75,24.2,3290.34
08-01-2024,CORP_001,Spices (kg),4.63,3.63,1,21.6,2083.5
08-01-2024,CORP_001,Sugar (kg),9.2,7.39,1.81,19.7,414
08-01-2024,UNIV_001,Rice (kg),97.63,73.74,23.89,24.5,4100.46
08-01-2024,UNIV_001,Wheat Flour (kg),59.33,46.95,12.38,20.9,2254.54
08-01-2024,UNIV_001,Lentils (kg),49.91,39.82,10.09,20.2,4741.45
08-01-2024,UNIV_001,Chicken (kg),123,92.42,30.58,24.9,27060
08-01-2024,UNIV_001,Fish (kg),104.11,83.85,20.26,19.5,18739.8
08-01-2024,UNIV_001,Vegetables (kg),141.2,114.07,27.13,19.2,4942
08-01-2024,UNIV_001,Cooking Oil (L),36.83,29.57,7.26,19.7,4787.9
08-01-2024,UNIV_001,Milk (L),74.07,56.16,17.91,24.2,4296.06
08-01-2024,UNIV_001,Spices (kg),6.09,4.66,1.43,23.5,2740.5
08-01-2024,UNIV_001,Sugar (kg),11.56,9.7,1.86,16.1,520.2
09-01-2024,CORP_001,Rice (kg),80.94,66.17,14.77,18.2,3399.48
09-01-2024,CORP_001,Wheat Flour (kg),51.99,42.6,9.39,18.1,1975.62
09-01-2024,CORP_001,Lentils (kg),43.13,32.71,10.42,24.2,4097.35
09-01-2024,CORP_001,Chicken (kg),108.22,81.69,26.53,24.5,23808.4
09-01-2024,CORP_001,Fish (kg),94.51,76.95,17.56,18.6,17011.8
09-01-2024,CORP_001,Vegetables (kg),128.61,105.35,23.26,18.1,4501.35
09-01-2024,CORP_001,Cooking Oil (L),30.92,25.48,5.44,17.6,4019.6
09-01-2024,CORP_001,Milk (L),63.87,52.29,11.58,18.1,3704.46
09-01-2024,CORP_001,Spices (kg),5.12,4.29,0.83,16.2,2304
09-01-2024,CORP_001,Sugar (kg),10.61,8.15,2.46,23.2,477.45
09-01-2024,UNIV_001,Rice (kg),102.31,79.75,22.56,22.1,4297.02
09-01-2024,UNIV_001,Wheat Flour (kg),64.5,52.81,11.69,18.1,2451
09-01-2024,UNIV_001,Lentils (kg),51.56,41.15,10.41,20.2,4898.2
09-01-2024,UNIV_001,Chicken (kg),128.36,96.67,31.69,24.7,28239.2
09-01-2024,UNIV_001,Fish (kg),112.78,91.24,21.54,19.1,20300.4
09-01-2024,UNIV_001,Vegetables (kg),151.36,117.67,33.69,22.3,5297.6
09-01-2024,UNIV_001,Cooking Oil (L),38.46,29.87,8.59,22.3,4999.8
09-01-2024,UNIV_001,Milk (L),75.35,60.65,14.7,19.5,4370.3
09-01-2024,UNIV_001,Spices (kg),6.21,5.3,0.91,14.7,2794.5
09-01-2024,UNIV_001,Sugar (kg),13.21,10.37,2.84,21.5,594.45
10-01-2024,CORP_001,Rice (kg),74.84,63.03,11.81,15.8,3143.28
10-01-2024,CORP_001,Wheat Flour (kg),49.6,39.36,10.24,20.6,1884.8
10-01-2024,CORP_001,Lentils (kg),37.44,31.09,6.35,17,3556.8
10-01-2024,CORP_001,Chicken (kg),99.41,77.19,22.22,22.4,21870.2
10-01-2024,CORP_001,Fish (kg),88.11,68.61,19.5,22.1,15859.8
10-01-2024,CORP_001,Vegetables (kg),116.34,87.38,28.96,24.9,4071.9
10-01-2024,CORP_001,Cooking Oil (L),29.35,21.96,7.39,25.2,3815.5
10-01-2024,CORP_001,Milk (L),57.72,44.94,12.78,22.1,3347.76
10-01-2024,CORP_001,Spices (kg),4.85,3.68,1.17,24.1,2182.5
10-01-2024,CORP_001,Sugar (kg),9.83,7.89,1.94,19.7,442.35
10-01-2024,UNIV_001,Rice (kg),96.11,75.02,21.09,21.9,4036.62
10-01-2024,UNIV_001,Wheat Flour (kg),59.97,50.87,9.1,15.2,2278.86
10-01-2024,UNIV_001,Lentils (kg),49.56,39.01,10.55,21.3,4708.2
10-01-2024,UNIV_001,Chicken (kg),119.55,99.39,20.16,16.9,26301
10-01-2024,UNIV_001,Fish (kg),114.65,91.11,23.54,20.5,20637
10-01-2024,UNIV_001,Vegetables (kg),149.88,112.17,37.71,25.2,5245.8
10-01-2024,UNIV_001,Cooking Oil (L),35.88,27.96,7.92,22.1,4664.4
10-01-2024,UNIV_001,Milk (L),72.66,56.46,16.2,22.3,4214.28
10-01-2024,UNIV_001,Spices (kg),6.06,4.83,1.23,20.3,2727
10-01-2024,UNIV_001,Sugar (kg),12.82,9.9,2.92,22.8,576.9
11-01-2024,CORP_001,Rice (kg),73.52,57.87,15.65,21.3,3087.84
11-01-2024,CORP_001,Wheat Flour (kg),43.26,36.27,6.99,16.2,1643.88
11-01-2024,CORP_001,Lentils (kg),35.09,28.72,6.37,18.2,3333.55
11-01-2024,CORP_001,Chicken (kg),88.22,74.48,13.74,15.6,19408.4
11-01-2024,CORP_001,Fish (kg),78.87,62.22,16.65,21.1,14196.6
11-01-2024,CORP_001,Vegetables (kg),111.13,80.68,30.45,27.4,3889.55
11-01-2024,CORP_001,Cooking Oil (L),27.26,21.74,5.52,20.2,3543.8
11-01-2024,CORP_001,Milk (L),55.14,44.59,10.55,19.1,3198.12
11-01-2024,CORP_001,Spices (kg),4.65,3.38,1.27,27.3,2092.5
11-01-2024,CORP_001,Sugar (kg),9.18,7.19,1.99,21.7,413.1
11-01-2024,UNIV_001,Rice (kg),103.2,77.55,25.65,24.9,4334.4
11-01-2024,UNIV_001,Wheat Flour (kg),64.52,53.01,11.51,17.8,2451.76
11-01-2024,UNIV_001,Lentils (kg),52.73,40.1,12.63,24,5009.35
11-01-2024,UNIV_001,Chicken (kg),122.55,99.43,23.12,18.9,26961
11-01-2024,UNIV_001,Fish (kg),117.82,92.73,25.09,21.3,21207.6
11-01-2024,UNIV_001,Vegetables (kg),152.41,115.4,37.01,24.3,5334.35
11-01-2024,UNIV_001,Cooking Oil (L),38,30.17,7.83,20.6,4940
11-01-2024,UNIV_001,Milk (L),79.19,61.43,17.76,22.4,4593.02
11-01-2024,UNIV_001,Spices (kg),6.27,5.06,1.21,19.3,2821.5
11-01-2024,UNIV_001,Sugar (kg),12.28,10.59,1.69,13.8,552.6
12-01-2024,CORP_001,Rice (kg),80.17,64.07,16.1,20.1,3367.14
12-01-2024,CORP_001,Wheat Flour (kg),50.09,40.91,9.18,18.3,1903.42
12-01-2024,CORP_001,Lentils (kg),41.11,32.84,8.27,20.1,3905.45
12-01-2024,CORP_001,Chicken (kg),99.44,78.72,20.72,20.8,21876.8
12-01-2024,CORP_001,Fish (kg),88.41,73.43,14.98,16.9,15913.8
12-01-2024,CORP_001,Vegetables (kg),117.01,97.32,19.69,16.8,4095.35
12-01-2024,CORP_001,Cooking Oil (L),31.36,25.07,6.29,20.1,4076.8
12-01-2024,CORP_001,Milk (L),60.58,47.96,12.62,20.8,3513.64
12-01-2024,CORP_001,Spices (kg),4.89,4.09,0.8,16.4,2200.5
12-01-2024,CORP_001,Sugar (kg),10.41,7.81,2.6,25,468.45
12-01-2024,UNIV_001,Rice (kg),111.87,92.33,19.54,17.5,4698.54
12-01-2024,UNIV_001,Wheat Flour (kg),72.59,54.21,18.38,25.3,2758.42
12-01-2024,UNIV_001,Lentils (kg),56.54,43.13,13.41,23.7,5371.3
12-01-2024,UNIV_001,Chicken (kg),136.09,116.26,19.83,14.6,29939.8
12-01-2024,UNIV_001,Fish (kg),130.07,103.04,27.03,20.8,23412.6
12-01-2024,UNIV_001,Vegetables (kg),162.56,138.56,24,14.8,5689.6
12-01-2024,UNIV_001,Cooking Oil (L),42.01,32.88,9.13,21.7,5461.3
12-01-2024,UNIV_001,Milk (L),84.78,63.98,20.8,24.5,4917.24
12-01-2024,UNIV_001,Spices (kg),7.19,5.62,1.57,21.8,3235.5
12-01-2024,UNIV_001,Sugar (kg),13.71,10.78,2.93,21.4,616.95
13-01-2024,CORP_001,Rice (kg),11.22,8.69,2.53,22.5,471.24
13-01-2024,CORP_001,Wheat Flour (kg),7.25,5.9,1.35,18.6,275.5
13-01-2024,CORP_001,Lentils (kg),5.53,4.34,1.19,21.5,525.35
13-01-2024,CORP_001,Chicken (kg),14.49,11.78,2.71,18.7,3187.8
13-01-2024,CORP_001,Fish (kg),12.77,10.1,2.67,20.9,2298.6
13-01-2024,CORP_001,Vegetables (kg),17.42,13.35,4.07,23.4,609.7
13-01-2024,CORP_001,Cooking Oil (L),4.15,3.5,0.65,15.7,539.5
13-01-2024,CORP_001,Milk (L),8.73,6.9,1.83,21,506.34
13-01-2024,CORP_001,Spices (kg),0.73,0.58,0.15,20.5,328.5
13-01-2024,CORP_001,Sugar (kg),1.4,1.12,0.28,20,63
13-01-2024,UNIV_001,Rice (kg),63.34,49.74,13.6,21.5,2660.28
13-01-2024,UNIV_001,Wheat Flour (kg),41.46,33.57,7.89,19,1575.48
13-01-2024,UNIV_001,Lentils (kg),33.95,26.23,7.72,22.7,3225.25
13-01-2024,UNIV_001,Chicken (kg),79.57,62.01,17.56,22.1,17505.4
13-01-2024,UNIV_001,Fish (kg),75.47,58.71,16.76,22.2,13584.6
13-01-2024,UNIV_001,Vegetables (kg),99.03,79.93,19.1,19.3,3466.05
13-01-2024,UNIV_001,Cooking Oil (L),24.93,20.09,4.84,19.4,3240.9
13-01-2024,UNIV_001,Milk (L),47.22,39.83,7.39,15.7,2738.76
13-01-2024,UNIV_001,Spices (kg),4.21,3.16,1.05,24.9,1894.5
13-01-2024,UNIV_001,Sugar (kg),8.27,6.34,1.93,23.3,372.15
14-01-2024,CORP_001,Rice (kg),12.46,9.03,3.43,27.5,523.32
14-01-2024,CORP_001,Wheat Flour (kg),7.55,5.73,1.82,24.1,286.9
14-01-2024,CORP_001,Lentils (kg),6.11,4.59,1.52,24.9,580.45
14-01-2024,CORP_001,Chicken (kg),14.67,11.87,2.8,19.1,3227.4
14-01-2024,CORP_001,Fish (kg),13.97,10.36,3.61,25.8,2514.6
14-01-2024,CORP_001,Vegetables (kg),17.47,14.64,2.83,16.2,611.45
14-01-2024,CORP_001,Cooking Oil (L),4.5,3.72,0.78,17.3,585
14-01-2024,CORP_001,Milk (L),8.73,7.23,1.5,17.2,506.34
14-01-2024,CORP_001,Spices (kg),0.73,0.57,0.16,21.9,328.5
14-01-2024,CORP_001,Sugar (kg),1.52,1.2,0.32,21.1,68.4
14-01-2024,UNIV_001,Rice (kg),70.98,53.92,17.06,24,2981.16
14-01-2024,UNIV_001,Wheat Flour (kg),43.25,34.05,9.2,21.3,1643.5
14-01-2024,UNIV_001,Lentils (kg),36.15,26.91,9.24,25.6,3434.25
14-01-2024,UNIV_001,Chicken (kg),85.39,67.73,17.66,20.7,18785.8
14-01-2024,UNIV_001,Fish (kg),78.61,60.29,18.32,23.3,14149.8
14-01-2024,UNIV_001,Vegetables (kg),107.86,80.5,27.36,25.4,3775.1
14-01-2024,UNIV_001,Cooking Oil (L),26.92,19.77,7.15,26.6,3499.6
14-01-2024,UNIV_001,Milk (L),52.81,43.04,9.77,18.5,3062.98
14-01-2024,UNIV_001,Spices (kg),4.22,3.61,0.61,14.5,1899
14-01-2024,UNIV_001,Sugar (kg),8.65,7.2,1.45,16.8,389.25
15-01-2024,CORP_001,Rice (kg),84.46,64.52,19.94,23.6,3547.32
15-01-2024,CORP_001,Wheat Flour (kg),50.67,40.33,10.34,20.4,1925.46
15-01-2024,CORP_001,Lentils (kg),40.2,31.71,8.49,21.1,3819
15-01-2024,CORP_001,Chicken (kg),100.61,81.7,18.91,18.8,22134.2
15-01-2024,CORP_001,Fish (kg),95.94,71.33,24.61,25.7,17269.2
15-01-2024,CORP_001,Vegetables (kg),121,100.33,20.67,17.1,4235
15-01-2024,CORP_001,Cooking Oil (L),30.42,23.66,6.76,22.2,3954.6
15-01-2024,CORP_001,Milk (L),60.69,51.62,9.07,14.9,3520.02
15-01-2024,CORP_001,Spices (kg),5.34,4.05,1.29,24.2,2403
15-01-2024,CORP_001,Sugar (kg),10.54,8.27,2.27,21.5,474.3
15-01-2024,UNIV_001,Rice (kg),120.02,95.43,24.59,20.5,5040.84
15-01-2024,UNIV_001,Wheat Flour (kg),74.71,57.08,17.63,23.6,2838.98
15-01-2024,UNIV_001,Lentils (kg),56.86,46.6,10.26,18,5401.7
15-01-2024,UNIV_001,Chicken (kg),152.66,117.9,34.76,22.8,33585.2
15-01-2024,UNIV_001,Fish (kg),136.74,110.79,25.95,19,24613.2
15-01-2024,UNIV_001,Vegetables (kg),172.43,143.28,29.15,16.9,6035.05
15-01-2024,UNIV_001,Cooking Oil (L),45,36.89,8.11,18,5850
15-01-2024,UNIV_001,Milk (L),92.29,71.6,20.69,22.4,5352.82
15-01-2024,UNIV_001,Spices (kg),7.23,6.04,1.19,16.5,3253.5
15-01-2024,UNIV_001,Sugar (kg),14.3,12.05,2.25,15.7,643.5
16-01-2024,CORP_001,Rice (kg),79.43,60.05,19.38,24.4,3336.06
16-01-2024,CORP_001,Wheat Flour (kg),48.52,37.72,10.8,22.3,1843.76
16-01-2024,CORP_001,Lentils (kg),38.2,29.79,8.41,22,3629
16-01-2024,CORP_001,Chicken (kg),98.1,79.49,18.61,19,21582
16-01-2024,CORP_001,Fish (kg),89.57,66.06,23.51,26.2,16122.6
16-01-2024,CORP_001,Vegetables (kg),118.8,93.48,25.32,21.3,4158
16-01-2024,CORP_001,Cooking Oil (L),28.21,21.76,6.45,22.9,3667.3
16-01-2024,CORP_001,Milk (L),56.49,47.58,8.91,15.8,3276.42
16-01-2024,CORP_001,Spices (kg),4.85,3.89,0.96,19.8,2182.5
16-01-2024,CORP_001,Sugar (kg),9.41,7.78,1.63,17.3,423.45
16-01-2024,UNIV_001,Rice (kg),103.85,84.45,19.4,18.7,4361.7
16-01-2024,UNIV_001,Wheat Flour (kg),68.27,51.49,16.78,24.6,2594.26
16-01-2024,UNIV_001,Lentils (kg),55.5,41.59,13.91,25.1,5272.5
16-01-2024,UNIV_001,Chicken (kg),136.83,105.9,30.93,22.6,30102.6
16-01-2024,UNIV_001,Fish (kg),122.58,92.29,30.29,24.7,22064.4
16-01-2024,UNIV_001,Vegetables (kg),155.62,133.9,21.72,14,5446.7
16-01-2024,UNIV_001,Cooking Oil (L),39.76,33.17,6.59,16.6,5168.8
16-01-2024,UNIV_001,Milk (L),84.45,62.23,22.22,26.3,4898.1
16-01-2024,UNIV_001,Spices (kg),6.62,5.44,1.18,17.8,2979
16-01-2024,UNIV_001,Sugar (kg),14.04,11.17,2.87,20.4,631.8
17-01-2024,CORP_001,Rice (kg),76.34,62.3,14.04,18.4,3206.28
17-01-2024,CORP_001,Wheat Flour (kg),46.25,39.66,6.59,14.2,1757.5
17-01-2024,CORP_001,Lentils (kg),39.64,29.14,10.5,26.5,3765.8
17-01-2024,CORP_001,Chicken (kg),93.81,72.35,21.46,22.9,20638.2
17-01-2024,CORP_001,Fish (kg),84.23,70.23,14,16.6,15161.4
17-01-2024,CORP_001,Vegetables (kg),113.32,86.7,26.62,23.5,3966.2
17-01-2024,CORP_001,Cooking Oil (L),28.24,23.81,4.43,15.7,3671.2
17-01-2024,CORP_001,Milk (L),57.86,44.92,12.94,22.4,3355.88
17-01-2024,CORP_001,Spices (kg),4.64,3.97,0.67,14.4,2088
17-01-2024,CORP_001,Sugar (kg),9.8,7.38,2.42,24.7,441
17-01-2024,UNIV_001,Rice (kg),106.07,83.03,23.04,21.7,4454.94
